sex,age,decile_score,priors_count,c_charge_degree,v_decile_score,Probability
0.0,0.6538461538461539,0.0,0.0,1.0,0.0,0.0
0.0,0.20512820512820515,0.2222222222222222,0.0,1.0,0.0,1.0
0.0,0.07692307692307696,0.3333333333333333,0.10526315789473684,1.0,0.2222222222222222,1.0
0.0,0.06410256410256412,0.7777777777777777,0.02631578947368421,1.0,0.5555555555555556,0.0
0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0
0.0,0.29487179487179493,0.5555555555555556,0.3684210526315789,1.0,0.1111111111111111,1.0
0.0,0.3205128205128205,0.3333333333333333,0.07894736842105263,1.0,0.2222222222222222,0.0
1.0,0.2692307692307693,0.0,0.0,0.0,0.0,0.0
0.0,0.038461538461538464,0.2222222222222222,0.02631578947368421,1.0,0.4444444444444445,1.0
0.0,0.11538461538461539,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0
0.0,0.06410256410256412,0.5555555555555556,0.07894736842105263,0.0,0.3333333333333333,1.0
1.0,0.24358974358974358,0.0,0.0,0.0,0.0,0.0
0.0,0.29487179487179493,0.3333333333333333,0.0,1.0,0.1111111111111111,0.0
1.0,0.3717948717948718,0.0,0.02631578947368421,1.0,0.0,1.0
0.0,0.16666666666666666,0.2222222222222222,0.18421052631578946,1.0,0.1111111111111111,1.0
0.0,0.24358974358974358,0.0,0.0,0.0,0.0,0.0
0.0,0.08974358974358973,1.0,0.07894736842105263,1.0,0.8888888888888888,0.0
0.0,0.16666666666666666,0.4444444444444445,0.15789473684210525,1.0,0.3333333333333333,1.0
0.0,0.16666666666666666,0.2222222222222222,0.13157894736842105,1.0,0.1111111111111111,1.0
0.0,0.5897435897435898,0.5555555555555556,0.3421052631578947,1.0,0.2222222222222222,1.0
0.0,0.11538461538461539,0.1111111111111111,0.0,0.0,0.2222222222222222,1.0
1.0,0.038461538461538464,0.3333333333333333,0.0,1.0,0.4444444444444445,0.0
0.0,0.07692307692307696,0.3333333333333333,0.02631578947368421,1.0,0.4444444444444445,1.0
0.0,0.3205128205128205,0.0,0.02631578947368421,0.0,0.1111111111111111,0.0
0.0,0.1794871794871795,0.2222222222222222,0.0,0.0,0.3333333333333333,0.0
0.0,0.11538461538461539,0.2222222222222222,0.21052631578947367,1.0,0.2222222222222222,1.0
0.0,0.10256410256410256,0.6666666666666665,0.13157894736842105,1.0,0.6666666666666665,1.0
